Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2023/194940,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-06-2023,The Application Has Been Executed,2023/929 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/193169,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/6/2023,Case Filed,"2023/3983 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/192903,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/6/2023,The Application Has Been Executed,2023/352 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/192458,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/6/2023,The Application Has Been Executed,2023/671 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/190799,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/6/2023,Case Filed,"2023/620 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/190745,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/6/2023,Case Filed,"2023/576 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/189838,"Appeal of summary matters, commercial case filing",سهاد الجبوري للمحاماة والإستشارات القانونية,8/6/2023,Case Filed,"2023/11 Appeal of summary matters, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/189814,Commercial Arrestation case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/6/2023,The Application Has Been Executed,"2023/242 Provisional attachment, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/189782,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/6/2023,Case Filed,"2023/577 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/189465,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/6/2023,Case Filed,"2023/589 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/187848,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/6/2023,The Application Has Been Executed,2023/344 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/184488,Family matters case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/6/2023,Rejected (لعدم اختصاص المركز),,"Choose View Option
    View the application"
2023/183265,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/6/2023,Case Filed,"2023/460 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/182078,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/6/2023,The Application Has Been Executed,2023/630 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/180000,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-05-2023,The Application Has Been Executed,2023/5546 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/178641,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-05-2023,Case Filed,"2023/541 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
