Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2022/152268,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/6/2022,Case Filed,"2022/594 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/152022,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/6/2022,The Application Has Been Executed,2022/1307 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/148732,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-05-2022,Case Filed,"2022/508 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/145558,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-05-2022,Case Filed,"2022/325 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/143739,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2022,The Application Has Been Executed,2022/530 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/143626,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2022,Case Filed,"2022/478 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/142054,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-05-2022,Case Filed,"2022/299 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/141253,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-05-2022,The Application Has Been Executed,2022/514 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/140089,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-05-2022,The Application Has Been Executed,2022/511 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/136777,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-05-2022,The Application Has Been Executed,2022/1256 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/136324,Appeal of commercial grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-05-2022,Case Filed,2022/139 Appeal of commercial grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/136086,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-05-2022,The Application Has Been Executed,2022/619 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/135383,Order on petition-Personal Status case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-05-2022,The Application Has Been Executed,"2022/1075 Order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/133987,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-05-2022,Case Filed,"2022/443 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/133423,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-05-2022,Case Filed,"2022/276 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/133246,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-05-2022,The Application Has Been Executed,"2022/639 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/131350,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-05-2022,Case Filed,"2022/277 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/131052,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-05-2022,The Application Has Been Executed,2022/501 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/130997,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-05-2022,Case Filed,"2022/275 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/130707,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-05-2022,The Application Has Been Executed,2022/495 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/130551,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-05-2022,The Application Has Been Executed,2022/385 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/130240,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/5/2022,Case Filed,"2022/453 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/129731,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/5/2022,The Application Has Been Executed,"2022/397 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/129644,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/5/2022,The Application Has Been Executed,2022/1115 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/129513,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/5/2022,Case Filed,"2022/454 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/129480,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/5/2022,The Application Has Been Executed,"2022/342 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/129332,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/5/2022,Case Filed,"2022/270 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/128148,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/5/2022,The Application Has Been Executed,"2022/339 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/127732,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/5/2022,The Application Has Been Executed,"2022/987 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/126872,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/5/2022,The Application Has Been Executed,"2022/328 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/125862,Civil execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/5/2022,Case Filed,"2022/950 Execution, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/124219,Appeal of commercial grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/5/2022,Case Filed,2022/121 Appeal of commercial grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/124104,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/5/2022,The Application Has Been Executed,2022/1126 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/124086,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/5/2022,The Application Has Been Executed,"2022/337 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/124000,Conjugal matters case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/5/2022,Case Filed,2022/2140 Marital matters,"Choose View Option
    View the application
    View the case"
2022/123703,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-04-2022,Case Filed,"2022/265 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/123701,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-04-2022,The Application Has Been Executed,2022/425 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/121290,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-04-2022,The Application Has Been Executed,"2022/330 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/121081,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-04-2022,The Application Has Been Executed,"2022/327 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/120999,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-04-2022,The Application Has Been Executed,"2022/315 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/120969,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-04-2022,The Application Has Been Executed,2022/409 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/102136,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/4/2022,The Application Has Been Executed,2022/313 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/73554,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/3/2022,The Application Has Been Executed,2022/300 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/68123,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/3/2022,The Application Has Been Executed,"2022/722 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/61273,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2022,The Application Has Been Executed,2022/467 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/52798,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,21-02-2022,The Application Has Been Executed,2022/2457 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/52618,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,21-02-2022,The Application Has Been Executed,2022/2458 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/49831,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2022,The Application Has Been Executed,2022/2459 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/49740,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,17-02-2022,The Application Has Been Executed,2022/3716 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/48498,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-02-2022,The Application Has Been Executed,"2022/277 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/38654,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/2/2022,Case Filed,"2022/1843 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/8001,Commercial dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/1/2022,The Application Has Been Executed,2022/118 Commercial Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2022/2121,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,4/1/2022,Case Filed,"2022/225 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/350580,Civil dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-12-2021,The Application Has Been Executed,2022/49 Civil dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/342318,Civil Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-12-2021,Case Filed,"2021/514 Objection, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/341026,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-12-2021,Rejected (Application Submission Is Invalid),,"Choose View Option
    View the application"
2021/329987,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2021,The Application Has Been Executed,"2021/3109 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/327686,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/12/2021,Case Filed,"2021/10221 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/327428,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/12/2021,Case Filed,"2021/9856 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/325009,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/12/2021,Case Filed,"2021/9705 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/321752,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-11-2021,Case Filed,"2021/9836 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/320270,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2021,Case Filed,"2021/9764 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/311754,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2021,The Application Has Been Executed,2021/7536 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/311646,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-11-2021,Case Filed,"2021/9581 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/309957,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-11-2021,Case Filed,"2021/9406 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/308733,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-11-2021,The Application Has Been Executed,"2021/1530 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/298940,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/11/2021,The Application Has Been Executed,"2021/4432 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/290313,Full Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-10-2021,The Application Has Been Executed,"2021/180 Real estate, full jurisdiction,","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/289027,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-10-2021,The Application Has Been Executed,2021/1586 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/280347,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-10-2021,The Application Has Been Executed,"2021/1230 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/278547,Commercial Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-10-2021,Case Filed,"2021/1146 Order on petition, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/273301,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/10/2021,The Application Has Been Executed,2021/6697 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/267106,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/10/2021,The Application Has Been Executed,2021/6699 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/228419,"Commercial Banks, Partial",سهاد الجبوري للمحاماة والإستشارات القانونية,30-08-2021,The Application Has Been Executed,"2021/462 Commercial Banks, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/228319,Commercial Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-08-2021,The Application Has Been Executed,"2021/1082 Objection, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/196065,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-07-2021,The Application Has Been Executed,2021/2187 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/176473,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-06-2021,The Application Has Been Executed,"2021/832 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/146739,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/6/2021,The Application Has Been Executed,2021/835 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/122071,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/5/2021,Case Filed,"2021/3872 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/118864,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/5/2021,The Application Has Been Executed,"2021/1076 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/115652,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-04-2021,Case Filed,"2021/3476 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/111738,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-04-2021,The Application Has Been Executed,"2021/1786 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/81927,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-03-2021,The Application Has Been Executed,"2021/467 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/66957,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/3/2021,The Application Has Been Executed,2021/1741 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/64480,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/3/2021,Case Filed,"2021/1822 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/62742,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/3/2021,The Application Has Been Executed,"2021/1011 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/60278,Performance order appeal,سهاد الجبوري للمحاماة والإستشارات القانونية,3/3/2021,Case Filed,2021/368 Performance order appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/56009,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-02-2021,Case Filed,"2021/1963 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/46981,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-02-2021,Case Filed,"2021/1922 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/41968,Commercial dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-02-2021,The Application Has Been Executed,2021/402 Commercial Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/34571,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/2/2021,The Application Has Been Executed,2021/308 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/30752,Real estate dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/2/2021,The Application Has Been Executed,2021/9 Real estate Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/7801,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/1/2021,Case Filed,2021/55 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2021/1087,Civil execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/1/2021,Case Filed,"2021/38 Execution, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/223168,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-12-2020,Case Filed,"2020/9198 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/220608,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-12-2020,The Application Has Been Executed,"2021/10 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/208651,Civil execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-12-2020,Case Filed,"2021/39 Execution, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/202138,Labour Petition for review case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/12/2020,Case Filed,"2020/165 Petition for review, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/172226,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/11/2020,The Application Has Been Executed,2020/2708 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/156789,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-10-2020,The Application Has Been Executed,"2020/4353 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/153196,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-10-2020,The Application Has Been Executed,"2020/1903 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/141589,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/10/2020,Case Filed,"2020/7395 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/128570,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-09-2020,Case Filed,"2020/5943 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/124513,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-09-2020,Case Filed,2020/3892 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/124259,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-09-2020,Case Filed,"2020/6868 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/120713,Civil dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-09-2020,Case Filed,2020/1922 Civil dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/118461,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-09-2020,Case Filed,2020/962 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/108651,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,2/9/2020,Case Filed,"2020/1486 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/88580,Restricted Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/8/2020,Case Filed,"2020/719 Real estates, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/79078,Civil dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-07-2020,Case Filed,2020/1625 Civil dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/76298,Commercial Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-07-2020,Case Filed,"2020/865 Order on petition, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/70041,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-07-2020,Case Filed,"2020/1112 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/66252,"Petition for review, labor, appeal case filing",سهاد الجبوري للمحاماة والإستشارات القانونية,14-07-2020,Case Filed,"2020/34 Petition for review, labor, appeal","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/63582,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/7/2020,Case Filed,2020/2680 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/62436,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/7/2020,Case Filed,"2020/3678 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/61888,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/7/2020,Case Filed,"2020/3677 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/61855,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/7/2020,Case Filed,2020/1612 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/52923,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/6/2020,Case Filed,"2020/3328 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/52097,Commercial Grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/6/2020,Case Filed,"2020/252 Grievance, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/51506,Commercial Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,8/6/2020,Case Filed,"2020/580 Order on petition, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/48691,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/6/2020,Case Filed,"2020/3144 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/46136,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-05-2020,Case Filed,2020/1334 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/41151,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,3/5/2020,Case Filed,2020/1847 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/39589,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-04-2020,Case Filed,"2020/542 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/39533,Personal Status of Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-04-2020,Case Filed,"2020/649 Personal Status, Muslim","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/31443,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-03-2020,Case Filed,2020/894 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/27172,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/3/2020,Case Filed,2020/867 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/20126,Civil dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-02-2020,Case Filed,2020/356 Civil dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/14005,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/2/2020,Case Filed,2020/526 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/9188,Full Jurisdiction Real Estate case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-01-2020,Case Filed,"2020/66 Real estate, full jurisdiction,","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/7333,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-01-2020,Case Filed,"2020/1854 Labor, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2020/4578,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-01-2020,Case Filed,"2020/986 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/127312,Non-Muslims estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-12-2019,Case Filed,2020/4 Inheritance of Non-Muslims,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/121861,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/12/2019,Case Filed,"2020/100 Labor, Partial","Choose View Option
    View the application
    View the case"
2019/117901,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-11-2019,Case Filed,"2020/239 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/117795,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-11-2019,Case Filed,"2020/195 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/115582,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-11-2019,Case Filed,"2019/13202 Labor, Partial","Choose View Option
    View the application
    View the case"
